ClienteID,Nome_Cliente,Tipo_Cliente,Segmento_Cliente,Cidade,UF,Canal_Preferido,Data_Cadastro,Score_Risco
C000041,Cliente C000041,PF,Varejo,Jaboatão dos Guararapes,PE,Marketplace,2024-06-15,73.4
C000042,Cliente C000042,PJ,Premium,Belo Horizonte,MG,Loja Física,2024-02-04,60.0
C000043,Cliente C000043,PF,Premium,Vitória da Conquista,BA,Loja Física,2021-02-08,68.0
C000044,Cliente C000044,PJ,Atacado,Recife,PE,Marketplace,2024-01-07,53.4
C000045,Cliente C000045,PJ,Corporate,Florianópolis,SC,Loja Física,2020-11-10,47.6
C000046,Cliente C000046,PF,Premium,Santos,SP,Online,2023-10-17,78.0
C000047,Cliente C000047,PF,Varejo,Rio de Janeiro,RJ,Loja Física,2023-07-02,55.7
C000048,Cliente C000048,PJ,Premium,Taguatinga,DF,Loja Física,2022-05-05,47.4
C000049,Cliente C000049,PJ,Varejo,Londrina,PR,Marketplace,2020-12-21,67.1
C000050,Cliente C000050,PF,Varejo,Juiz de Fora,MG,Televendas,2024-03-17,96.5
C000051,Cliente C000051,PJ,Corporate,Porto Alegre,RS,Loja Física,2022-07-07,70.6
C000052,Cliente C000052,PJ,Premium,Joinville,SC,Online,2021-09-22,53.2
C000053,Cliente C000053,PF,Varejo,Ribeirão Preto,SP,Online,2020-12-29,83.9
C000054,Cliente C000054,PJ,Atacado,Ribeirão Preto,SP,Online,2023-07-04,60.2
C000055,Cliente C000055,PF,Premium,Ceilândia,DF,Online,2022-11-08,59.2
C000056,Cliente C000056,PJ,Varejo,Feira de Santana,BA,Loja Física,2022-11-06,99.7
C000057,Cliente C000057,PF,Varejo,Pelotas,RS,Loja Física,2021-11-23,82.5
C000058,Cliente C000058,PJ,Varejo,Londrina,PR,Marketplace,2024-08-21,78.3
C000059,Cliente C000059,PF,Varejo,Campinas,SP,Loja Física,2023-12-22,58.2
C000060,Cliente C000060,PF,Premium,Maracanaú,CE,Loja Física,2022-12-11,94.6
C000061,Cliente C000061,PJ,Varejo,Campinas,SP,Online,2025-03-02,83.5
C000062,Cliente C000062,PJ,Corporate,São Paulo,SP,Online,2024-02-12,53.4
C000063,Cliente C000063,PF,Varejo,Uberlândia,MG,Marketplace,2020-03-13,48.6
C000064,Cliente C000064,PF,Atacado,Ponta Grossa,PR,Online,2024-12-14,40.6
C000065,Cliente C000065,PF,Varejo,Brasília,DF,Online,2024-07-27,80.4
C000066,Cliente C000066,PF,Varejo,Jaboatão dos Guararapes,PE,Marketplace,2023-01-06,72.0
C000067,Cliente C000067,PF,Corporate,Juiz de Fora,MG,Online,2023-01-20,68.2
C000068,Cliente C000068,PF,Varejo,Niterói,RJ,Online,2023-02-04,91.4
C000069,Cliente C000069,PF,Varejo,Ponta Grossa,PR,Online,2022-06-23,70.5
C000070,Cliente C000070,PF,Varejo,Camaçari,BA,Online,2024-01-04,70.0
C000071,Cliente C000071,PF,Varejo,Caucaia,CE,Online,2023-09-16,48.5
C000072,Cliente C000072,PJ,Varejo,Santos,SP,Loja Física,2024-10-23,71.8
C000073,Cliente C000073,PF,Varejo,Juiz de Fora,MG,Loja Física,2024-08-13,72.5
C000074,Cliente C000074,PF,Premium,Sorocaba,SP,Marketplace,2020-02-28,58.8
C000075,Cliente C000075,PF,Varejo,Juazeiro do Norte,CE,Loja Física,2021-07-26,51.7
C000076,Cliente C000076,PF,Atacado,Caruaru,PE,Loja Física,2021-04-14,52.2
C000077,Cliente C000077,PJ,Varejo,Curitiba,PR,Loja Física,2024-12-19,64.1
C000078,Cliente C000078,PJ,Varejo,Campinas,SP,Marketplace,2023-08-24,38.8
C000079,Cliente C000079,PF,Varejo,Florianópolis,SC,Loja Física,2024-05-11,74.5
C000080,Cliente C000080,PJ,Varejo,Contagem,MG,Loja Física,2020-05-20,56.3
C000081,Cliente C000081,PJ,Varejo,Uberlândia,MG,Online,2022-09-15,72.8
C000082,Cliente C000082,PF,Varejo,São Paulo,SP,Loja Física,2025-06-15,81.1
C000083,Cliente C000083,PF,Varejo,Ribeirão Preto,SP,Online,2025-06-04,73.7
C000084,Cliente C000084,PJ,Atacado,Caucaia,CE,Loja Física,2023-11-24,78.5
C000085,Cliente C000085,PF,Varejo,Juazeiro do Norte,CE,Loja Física,2024-01-27,78.2
C000086,Cliente C000086,PF,Atacado,Gama,DF,Online,2024-06-02,57.9
C000087,Cliente C000087,PJ,Premium,Niterói,RJ,Online,2021-06-06,48.0
C000088,Cliente C000088,PF,Varejo,Belo Horizonte,MG,Loja Física,2024-11-24,78.4
C000089,Cliente C000089,PF,Atacado,Chapecó,SC,Online,2021-08-12,45.8
C000090,Cliente C000090,PF,Atacado,Chapecó,SC,Online,2023-10-27,91.3
C000091,Cliente C000091,PF,Corporate,Santos,SP,Online,2024-07-09,59.2
C000092,Cliente C000092,PF,Varejo,Brasília,DF,Marketplace,2022-10-12,38.6
C000093,Cliente C000093,PF,Atacado,Joinville,SC,Loja Física,2023-05-15,72.9
C000094,Cliente C000094,PF,Varejo,Pelotas,RS,Marketplace,2022-11-17,81.5
C000095,Cliente C000095,PF,Premium,Sorocaba,SP,Loja Física,2020-06-20,68.6
C000096,Cliente C000096,PF,Varejo,São Paulo,SP,Online,2023-02-01,66.7
C000097,Cliente C000097,PJ,Corporate,Maringá,PR,Loja Física,2023-03-05,66.2
C000098,Cliente C000098,PJ,Premium,Santos,SP,Loja Física,2024-11-12,77.1
C000099,Cliente C000099,PF,Premium,Curitiba,PR,Online,2021-12-08,68.9
C000100,Cliente C000100,PJ,Varejo,Jaboatão dos Guararapes,PE,Online,2025-05-30,72.9
C000101,Cliente C000101,PF,Premium,Brasília,DF,Marketplace,2020-11-18,49.3
C000102,Cliente C000102,PF,Varejo,Ribeirão Preto,SP,Loja Física,2021-07-27,65.6
C000103,Cliente C000103,PF,Varejo,Contagem,MG,Online,2022-09-19,75.3
C000104,Cliente C000104,PF,Premium,Niterói,RJ,Online,2020-08-18,47.9
C000105,Cliente C000105,PF,Varejo,Juiz de Fora,MG,Online,2023-01-16,82.1
C000106,Cliente C000106,PJ,Varejo,Curitiba,PR,Loja Física,2020-01-17,100.0
C000107,Cliente C000107,PJ,Varejo,Niterói,RJ,Marketplace,2023-07-29,77.5
C000108,Cliente C000108,PF,Premium,Campos dos Goytacazes,RJ,Loja Física,2021-08-07,80.9
C000109,Cliente C000109,PF,Varejo,Pelotas,RS,Loja Física,2021-01-22,83.4
C000110,Cliente C000110,PJ,Premium,Brasília,DF,Marketplace,2021-04-20,68.4
C000111,Cliente C000111,PF,Atacado,Rio de Janeiro,RJ,Online,2020-06-01,63.7
C000112,Cliente C000112,PF,Varejo,Brasília,DF,Loja Física,2021-01-08,69.2
C000113,Cliente C000113,PF,Corporate,Rio de Janeiro,RJ,Online,2022-03-29,72.4
C000114,Cliente C000114,PF,Varejo,Porto Alegre,RS,Loja Física,2023-04-25,81.8
C000115,Cliente C000115,PF,Corporate,Caucaia,CE,Online,2025-03-28,91.3
C000116,Cliente C000116,PF,Varejo,Contagem,MG,Loja Física,2020-02-27,67.0
C000117,Cliente C000117,PF,Varejo,Salvador,BA,Marketplace,2022-11-19,50.5
C000118,Cliente C000118,PF,Varejo,Sorocaba,SP,Online,2021-01-16,80.5
C000119,Cliente C000119,PF,Varejo,Vitória da Conquista,BA,Loja Física,2024-04-08,79.6
C000120,Cliente C000120,PF,Corporate,Londrina,PR,Loja Física,2023-02-03,91.4
C000121,Cliente C000121,PJ,Atacado,Ponta Grossa,PR,Marketplace,2024-08-07,43.7
C000122,Cliente C000122,PJ,Varejo,Uberlândia,MG,Loja Física,2023-06-04,64.8
C000123,Cliente C000123,PF,Atacado,Campinas,SP,Online,2022-09-22,55.0
C000124,Cliente C000124,PF,Varejo,Sorocaba,SP,Online,2024-02-28,62.7
C000125,Cliente C000125,PF,Varejo,Sorocaba,SP,Online,2020-08-02,94.2
C000126,Cliente C000126,PF,Atacado,Campos dos Goytacazes,RJ,Loja Física,2020-09-08,72.6
C000127,Cliente C000127,PF,Varejo,Recife,PE,Online,2022-07-11,72.4
C000128,Cliente C000128,PJ,Corporate,Uberlândia,MG,Loja Física,2020-12-29,47.7
C000129,Cliente C000129,PF,Varejo,Florianópolis,SC,Loja Física,2022-07-03,49.4
C000130,Cliente C000130,PJ,Corporate,Sorocaba,SP,Online,2023-12-12,71.3
C000131,Cliente C000131,PJ,Premium,Olinda,PE,Online,2022-02-25,52.4
C000132,Cliente C000132,PJ,Varejo,Caxias do Sul,RS,Marketplace,2024-03-04,87.0
C000133,Cliente C000133,PF,Corporate,Salvador,BA,Marketplace,2020-06-30,90.8
C000134,Cliente C000134,PF,Varejo,Gama,DF,Online,2023-11-21,55.1
C000135,Cliente C000135,PF,Varejo,Ribeirão Preto,SP,Loja Física,2023-01-04,84.3
C000136,Cliente C000136,PF,Varejo,Maringá,PR,Loja Física,2020-02-06,69.2
C000137,Cliente C000137,PF,Varejo,Florianópolis,SC,Online,2022-10-29,65.9
C000138,Cliente C000138,PJ,Varejo,Recife,PE,Online,2021-11-13,43.1
C000139,Cliente C000139,PF,Premium,Caxias do Sul,RS,Marketplace,2023-03-25,56.2
C000140,Cliente C000140,PF,Varejo,Uberlândia,MG,Online,2025-02-25,31.9
C000141,Cliente C000141,PJ,Varejo,Joinville,SC,Televendas,2022-07-02,73.4
C000142,Cliente C000142,PF,Atacado,Sorocaba,SP,Online,2020-07-12,43.6
C000143,Cliente C000143,PF,Premium,Campos dos Goytacazes,RJ,Online,2021-07-18,43.5
C000144,Cliente C000144,PF,Varejo,Juiz de Fora,MG,Marketplace,2020-12-01,58.2
C000145,Cliente C000145,PJ,Varejo,Sorocaba,SP,Online,2023-11-01,48.3
C000146,Cliente C000146,PF,Varejo,Recife,PE,Loja Física,2021-04-09,58.1
C000147,Cliente C000147,PF,Varejo,Joinville,SC,Online,2021-08-14,83.6
C000148,Cliente C000148,PF,Premium,Curitiba,PR,Online,2021-11-21,81.1
C000149,Cliente C000149,PF,Varejo,Volta Redonda,RJ,Marketplace,2020-03-12,72.2
C000150,Cliente C000150,PF,Varejo,Fortaleza,CE,Online,2021-12-23,82.3
C000151,Cliente C000151,PF,Premium,Vitória da Conquista,BA,Online,2024-09-20,79.9
C000152,Cliente C000152,PF,Varejo,Pelotas,RS,Online,2024-06-20,79.4
C000153,Cliente C000153,PF,Varejo,Camaçari,BA,Online,2025-04-25,88.7
C000154,Cliente C000154,PF,Premium,Caruaru,PE,Marketplace,2022-06-25,76.5
C000155,Cliente C000155,PF,Varejo,Contagem,MG,Online,2023-04-03,70.6
C000156,Cliente C000156,PF,Varejo,Ponta Grossa,PR,Marketplace,2022-01-29,64.9
C000157,Cliente C000157,PF,Varejo,Uberlândia,MG,Online,2024-01-23,49.5
C000158,Cliente C000158,PF,Varejo,Olinda,PE,Online,2023-02-07,73.5
C000159,Cliente C000159,PF,Atacado,Vitória da Conquista,BA,Online,2023-03-11,67.1
C000160,Cliente C000160,PF,Varejo,Caruaru,PE,Televendas,2022-07-11,47.4
C000161,Cliente C000161,PJ,Atacado,Maracanaú,CE,Loja Física,2021-02-13,65.0
C000162,Cliente C000162,PF,Varejo,Uberlândia,MG,Online,2022-10-18,76.8
C000163,Cliente C000163,PF,Corporate,Rio de Janeiro,RJ,Online,2024-11-16,68.4
C000164,Cliente C000164,PF,Varejo,Sorocaba,SP,Online,2025-01-23,48.7
C000165,Cliente C000165,PJ,Atacado,Ribeirão Preto,SP,Online,2024-08-09,59.9
C000166,Cliente C000166,PF,Varejo,Belo Horizonte,MG,Loja Física,2024-02-13,52.6
C000167,Cliente C000167,PF,Premium,Sorocaba,SP,Marketplace,2025-05-18,63.4
C000168,Cliente C000168,PF,Atacado,Gama,DF,Online,2023-05-18,43.6
C000169,Cliente C000169,PF,Varejo,Santos,SP,Online,2021-04-13,69.0
C000170,Cliente C000170,PF,Atacado,Sorocaba,SP,Marketplace,2025-06-07,40.3
C000171,Cliente C000171,PF,Varejo,Pelotas,RS,Loja Física,2021-03-28,50.4
C000172,Cliente C000172,PF,Premium,Caruaru,PE,Loja Física,2023-05-25,77.9
C000173,Cliente C000173,PJ,Varejo,Campos dos Goytacazes,RJ,Online,2023-06-15,89.8
C000174,Cliente C000174,PF,Varejo,Santos,SP,Loja Física,2022-07-26,72.6
C000175,Cliente C000175,PF,Atacado,São Paulo,SP,Loja Física,2020-03-05,54.4
C000176,Cliente C000176,PF,Corporate,Olinda,PE,Online,2022-12-21,81.9
C000177,Cliente C000177,PF,Varejo,Niterói,RJ,Marketplace,2024-10-11,62.4
C000178,Cliente C000178,PJ,Varejo,Ribeirão Preto,SP,Marketplace,2023-08-12,74.6
C000179,Cliente C000179,PJ,Premium,Gama,DF,Online,2024-11-19,68.8
C000180,Cliente C000180,PF,Varejo,Florianópolis,SC,Televendas,2024-07-22,71.8
C000181,Cliente C000181,PJ,Varejo,Brasília,DF,Online,2024-12-20,59.7
C000182,Cliente C000182,PF,Varejo,Caruaru,PE,Online,2022-07-25,70.6
C000183,Cliente C000183,PF,Varejo,Feira de Santana,BA,Loja Física,2023-04-09,79.3
C000184,Cliente C000184,PF,Varejo,Niterói,RJ,Marketplace,2021-10-11,57.2
C000185,Cliente C000185,PF,Premium,Ceilândia,DF,Marketplace,2025-02-02,64.2
C000186,Cliente C000186,PJ,Varejo,Campinas,SP,Loja Física,2024-09-12,54.6
C000187,Cliente C000187,PF,Varejo,Caucaia,CE,Loja Física,2021-01-22,74.9
C000188,Cliente C000188,PF,Varejo,Ribeirão Preto,SP,Online,2020-02-28,55.7
C000189,Cliente C000189,PF,Corporate,Santa Maria,RS,Loja Física,2022-03-13,43.1
C000190,Cliente C000190,PJ,Varejo,Londrina,PR,Televendas,2020-09-13,67.8
C000191,Cliente C000191,PF,Varejo,Ribeirão Preto,SP,Online,2020-10-01,84.2
C000192,Cliente C000192,PF,Premium,Maringá,PR,Loja Física,2020-06-30,47.3
C000193,Cliente C000193,PJ,Varejo,Ceilândia,DF,Loja Física,2020-04-21,69.7
C000194,Cliente C000194,PJ,Premium,Pelotas,RS,Online,2022-10-16,84.8
C000195,Cliente C000195,PF,Corporate,Belo Horizonte,MG,Online,2020-01-21,80.1
C000196,Cliente C000196,PF,Varejo,Fortaleza,CE,Online,2021-12-27,81.3
C000197,Cliente C000197,PF,Atacado,Maringá,PR,Online,2021-08-19,68.0
C000198,Cliente C000198,PF,Premium,Santa Maria,RS,Online,2021-08-25,81.6
C000199,Cliente C000199,PF,Varejo,Uberlândia,MG,Loja Física,2022-01-12,66.5
C000200,Cliente C000200,PF,Varejo,Santos,SP,Loja Física,2022-10-27,62.6
C000201,Cliente C000201,PF,Varejo,Caucaia,CE,Loja Física,2024-12-20,77.3
C000202,Cliente C000202,PF,Varejo,Taguatinga,DF,Loja Física,2022-09-22,71.1
C000203,Cliente C000203,PF,Atacado,Uberlândia,MG,Loja Física,2024-10-24,73.8
C000204,Cliente C000204,PF,Varejo,Ribeirão Preto,SP,Online,2023-06-11,81.0
C000205,Cliente C000205,PJ,Premium,Fortaleza,CE,Loja Física,2025-05-27,59.1
C000206,Cliente C000206,PF,Premium,Niterói,RJ,Marketplace,2022-02-07,68.2
C000207,Cliente C000207,PJ,Corporate,Taguatinga,DF,Loja Física,2020-12-19,75.9
C000208,Cliente C000208,PJ,Varejo,Porto Alegre,RS,Loja Física,2021-02-16,45.9
C000209,Cliente C000209,PJ,Varejo,Campinas,SP,Loja Física,2021-11-07,73.5
C000210,Cliente C000210,PF,Corporate,Belo Horizonte,MG,Televendas,2023-06-09,60.4
C000211,Cliente C000211,PF,Varejo,Belo Horizonte,MG,Online,2020-08-18,71.4
C000212,Cliente C000212,PF,Varejo,Ceilândia,DF,Online,2020-01-31,53.8
C000213,Cliente C000213,PF,Varejo,Florianópolis,SC,Online,2022-07-23,84.2
C000214,Cliente C000214,PF,Atacado,Santos,SP,Online,2022-01-06,72.1
C000215,Cliente C000215,PJ,Varejo,Juiz de Fora,MG,Loja Física,2022-07-12,58.2
C000216,Cliente C000216,PJ,Varejo,Recife,PE,Loja Física,2021-09-07,70.3
C000217,Cliente C000217,PF,Varejo,Pelotas,RS,Online,2020-02-15,78.2
C000218,Cliente C000218,PF,Varejo,Feira de Santana,BA,Online,2021-02-25,83.9
C000219,Cliente C000219,PJ,Varejo,Campinas,SP,Loja Física,2024-07-23,63.4
C000220,Cliente C000220,PF,Varejo,Vitória da Conquista,BA,Loja Física,2020-01-27,71.9
C000221,Cliente C000221,PF,Varejo,Joinville,SC,Loja Física,2020-07-02,44.1
C000222,Cliente C000222,PF,Varejo,Contagem,MG,Online,2021-01-14,79.7
C000223,Cliente C000223,PF,Premium,Sorocaba,SP,Marketplace,2021-01-08,59.6
C000224,Cliente C000224,PF,Varejo,Gama,DF,Loja Física,2025-02-10,65.6
C000225,Cliente C000225,PF,Varejo,Campos dos Goytacazes,RJ,Online,2022-09-27,57.6
C000226,Cliente C000226,PF,Premium,Contagem,MG,Marketplace,2021-10-03,77.1
C000227,Cliente C000227,PF,Premium,Santa Maria,RS,Marketplace,2021-03-10,66.1
C000228,Cliente C000228,PF,Varejo,Sorocaba,SP,Loja Física,2024-11-22,67.5
C000229,Cliente C000229,PF,Corporate,Campinas,SP,Online,2025-06-03,67.8
C000230,Cliente C000230,PJ,Varejo,Curitiba,PR,Online,2024-03-20,52.0
C000231,Cliente C000231,PF,Varejo,Curitiba,PR,Loja Física,2020-05-23,66.9
C000232,Cliente C000232,PF,Varejo,Campos dos Goytacazes,RJ,Loja Física,2023-06-12,84.7
C000233,Cliente C000233,PF,Varejo,Caruaru,PE,Loja Física,2025-07-02,80.2
C000234,Cliente C000234,PJ,Varejo,Maracanaú,CE,Online,2021-09-24,72.1
C000235,Cliente C000235,PF,Premium,Jaboatão dos Guararapes,PE,Televendas,2025-03-29,68.2
C000236,Cliente C000236,PJ,Varejo,Maringá,PR,Marketplace,2023-09-30,60.6
C000237,Cliente C000237,PF,Varejo,Olinda,PE,Loja Física,2020-03-13,77.2
C000238,Cliente C000238,PF,Varejo,Brasília,DF,Online,2020-08-27,63.2
C000239,Cliente C000239,PF,Atacado,Juiz de Fora,MG,Loja Física,2020-03-14,73.2
C000240,Cliente C000240,PF,Atacado,Maringá,PR,Online,2025-07-16,100.0
C000241,Cliente C000241,PF,Varejo,Santos,SP,Marketplace,2021-08-29,84.8
C000242,Cliente C000242,PJ,Premium,Maracanaú,CE,Loja Física,2024-07-21,71.6
C000243,Cliente C000243,PF,Varejo,Volta Redonda,RJ,Online,2024-10-12,75.5
C000244,Cliente C000244,PF,Premium,Recife,PE,Online,2023-07-06,49.8
C000245,Cliente C000245,PJ,Varejo,Niterói,RJ,Online,2025-05-27,31.6
C000246,Cliente C000246,PF,Varejo,Belo Horizonte,MG,Online,2021-12-19,97.6
C000247,Cliente C000247,PF,Varejo,Fortaleza,CE,Loja Física,2021-04-21,53.0
C000248,Cliente C000248,PJ,Varejo,Rio de Janeiro,RJ,Loja Física,2024-07-28,94.9
C000249,Cliente C000249,PF,Corporate,Rio de Janeiro,RJ,Online,2022-07-14,65.0
C000250,Cliente C000250,PF,Varejo,Gama,DF,Online,2020-08-28,84.4
C000251,Cliente C000251,PF,Atacado,Ribeirão Preto,SP,Online,2021-05-26,70.6
C000252,Cliente C000252,PJ,Atacado,Fortaleza,CE,Online,2021-01-22,81.7
C000253,Cliente C000253,PF,Varejo,Uberlândia,MG,Online,2020-02-27,100.0
C000254,Cliente C000254,PJ,Varejo,Belo Horizonte,MG,Loja Física,2024-11-13,56.0
C000255,Cliente C000255,PF,Premium,Vitória da Conquista,BA,Online,2025-06-11,60.2
C000256,Cliente C000256,PJ,Premium,Jaboatão dos Guararapes,PE,Loja Física,2021-12-02,72.4
C000257,Cliente C000257,PJ,Varejo,Caxias do Sul,RS,Online,2022-08-24,74.3
C000258,Cliente C000258,PF,Varejo,Recife,PE,Loja Física,2024-03-31,83.6
C000259,Cliente C000259,PF,Corporate,Recife,PE,Online,2023-03-03,64.2
C000260,Cliente C000260,PF,Atacado,Maringá,PR,Marketplace,2023-03-22,94.8
C000261,Cliente C000261,PF,Atacado,Niterói,RJ,Online,2022-06-11,78.3
C000262,Cliente C000262,PF,Varejo,São Paulo,SP,Online,2025-05-03,83.4
C000263,Cliente C000263,PJ,Varejo,Jaboatão dos Guararapes,PE,Loja Física,2020-04-04,64.4
C000264,Cliente C000264,PF,Varejo,Gama,DF,Loja Física,2022-08-11,50.0
C000265,Cliente C000265,PJ,Varejo,Uberlândia,MG,Marketplace,2020-02-08,68.3
C000266,Cliente C000266,PJ,Premium,Campinas,SP,Online,2023-11-03,80.7
C000267,Cliente C000267,PF,Varejo,Pelotas,RS,Online,2022-08-01,79.3
C000268,Cliente C000268,PF,Varejo,Olinda,PE,Loja Física,2022-04-19,82.7
C000269,Cliente C000269,PF,Varejo,Santa Maria,RS,Loja Física,2025-01-13,76.6
C000270,Cliente C000270,PF,Varejo,Volta Redonda,RJ,Online,2022-05-24,74.2
C000271,Cliente C000271,PF,Varejo,Caucaia,CE,Loja Física,2024-12-23,78.0
C000272,Cliente C000272,PJ,Varejo,Blumenau,SC,Online,2021-03-15,62.0
C000273,Cliente C000273,PF,Varejo,Gama,DF,Loja Física,2025-06-15,62.5
C000274,Cliente C000274,PJ,Atacado,Juiz de Fora,MG,Loja Física,2020-08-08,66.9
C000275,Cliente C000275,PJ,Corporate,Santa Maria,RS,Online,2022-05-06,76.3
C000276,Cliente C000276,PF,Atacado,Campinas,SP,Online,2023-04-02,49.8
C000277,Cliente C000277,PF,Atacado,Santos,SP,Marketplace,2021-07-16,82.7
C000278,Cliente C000278,PF,Varejo,Vitória da Conquista,BA,Online,2023-03-06,46.4
C000279,Cliente C000279,PF,Premium,Porto Alegre,RS,Online,2023-03-31,53.9
C000280,Cliente C000280,PJ,Atacado,Gama,DF,Loja Física,2021-10-01,68.7
C000281,Cliente C000281,PJ,Varejo,Chapecó,SC,Loja Física,2022-12-15,90.8
C000282,Cliente C000282,PF,Corporate,Jaboatão dos Guararapes,PE,Online,2025-03-01,46.2
C000283,Cliente C000283,PF,Varejo,Campinas,SP,Online,2021-05-17,72.0
C000284,Cliente C000284,PF,Varejo,Taguatinga,DF,Marketplace,2023-01-23,68.7
C000285,Cliente C000285,PJ,Varejo,Gama,DF,Online,2021-08-11,77.9
C000286,Cliente C000286,PF,Varejo,Brasília,DF,Online,2020-09-23,58.8
C000287,Cliente C000287,PJ,Varejo,Salvador,BA,Loja Física,2020-03-27,43.1
C000288,Cliente C000288,PF,Varejo,Sorocaba,SP,Online,2024-04-10,84.1
C000289,Cliente C000289,PF,Corporate,Salvador,BA,Online,2023-11-15,55.4
C000290,Cliente C000290,PF,Premium,Recife,PE,Televendas,2021-06-01,52.8
C000291,Cliente C000291,PF,Varejo,Caruaru,PE,Online,2023-06-27,94.1
C000292,Cliente C000292,PF,Varejo,Belo Horizonte,MG,Online,2022-09-03,54.9
C000293,Cliente C000293,PF,Atacado,Brasília,DF,Online,2025-02-28,100.0
C000294,Cliente C000294,PF,Varejo,São Paulo,SP,Online,2020-10-27,100.0
C000295,Cliente C000295,PJ,Varejo,Ponta Grossa,PR,Online,2020-02-08,65.9
C000296,Cliente C000296,PJ,Varejo,Sorocaba,SP,Loja Física,2025-01-29,58.5
C000297,Cliente C000297,PF,Varejo,Fortaleza,CE,Online,2021-03-12,40.9
C000298,Cliente C000298,PJ,Varejo,Olinda,PE,Online,2021-09-13,87.3
C000299,Cliente C000299,PF,Atacado,Sorocaba,SP,Online,2024-02-17,78.3
C000300,Cliente C000300,PF,Corporate,Florianópolis,SC,Online,2025-05-26,87.6
C000301,Cliente C000301,PJ,Atacado,Londrina,PR,Online,2023-04-24,59.9
C000302,Cliente C000302,PF,Premium,Volta Redonda,RJ,Loja Física,2023-12-27,85.4
C000303,Cliente C000303,PF,Corporate,São Paulo,SP,Loja Física,2024-09-04,93.0
