VendaID,Data,ClienteID,ProdutoID,Canal,Forma_Pagamento,Status,Quantidade,Preco_Unit,Desconto_Perc,Receita_Bruta,Receita_Liquida,Custo_Total,Lucro,Cidade,UF,Segmento_Cliente
V048493,2024-04-26,C001422,P000230,Loja Física,Crédito,Entregue,3,10.78,0.315,32.34,22.15,21.63,0.52,Olinda,PE,Varejo
V026804,2024-02-10,C001193,P000696,Loja Física,Crédito,Entregue,1,3.92,0.24,3.92,2.98,2.81,0.17,Uberlândia,MG,Atacado
V044306,2024-02-25,C001255,P000199,Online,Crédito,Entregue,4,9.64,0.343,38.56,25.33,29.16,-3.83,Salvador,BA,Varejo
V047523,2024-05-30,C001083,P000369,Online,Pix,Entregue,3,11.99,0.248,35.97,27.05,19.5,7.55,Ponta Grossa,PR,Atacado
V032208,2024-04-14,C000219,P000041,Online,Pix,Entregue,5,21.37,0.165,106.85,89.22,58.95,30.27,Campinas,SP,Varejo
V002531,2024-12-04,C000733,P000410,Loja Física,Débito,Entregue,2,9.41,0.35,18.82,12.23,12.32,-0.09,Sorocaba,SP,Varejo
V017747,2024-06-23,C001139,P000894,Marketplace,Débito,Entregue,4,11.01,0.011,44.04,43.56,25.88,17.68,Maringá,PR,Corporate
V008271,2024-11-12,C000222,P000832,Online,Pix,Entregue,4,7.59,0.084,30.36,27.81,24.4,3.41,Contagem,MG,Varejo
V015080,2025-05-29,C001105,P000315,Marketplace,Pix,Entregue,3,25.32,0.186,75.96,61.83,53.55,8.28,São Paulo,SP,Atacado
V013625,2024-07-01,C001115,P000179,Online,Crédito,Entregue,3,3.39,0.256,10.17,7.57,7.26,0.31,Gama,DF,Atacado
V030639,2024-09-08,C000686,P000205,Online,Crédito,Entregue,4,7.16,0.182,28.64,23.43,22.16,1.27,Brasília,DF,Varejo
V030441,2024-07-30,C001158,P000954,Loja Física,Crédito,Entregue,3,13.84,0.038,41.52,39.94,24.3,15.64,Sorocaba,SP,Premium
V036057,2025-03-30,C001415,P000108,Marketplace,Crédito,Entregue,2,9.45,0.35,18.9,12.28,12.7,-0.42,Maracanaú,CE,Corporate
V042652,2025-06-18,C000767,P000661,Televendas,Pix,Entregue,2,34.51,0.155,69.02,58.32,51.82,6.5,Juiz de Fora,MG,Corporate
V036804,2025-05-24,C000085,P000112,Loja Física,Crédito,Entregue,1,29.22,0.056,29.22,27.58,24.49,3.09,Juazeiro do Norte,CE,Varejo
V048225,2024-08-20,C000204,P000750,Loja Física,Crédito,Entregue,2,11.18,0.075,22.36,20.68,13.74,6.94,Ribeirão Preto,SP,Varejo
V029227,2024-07-04,C000779,P001034,Online,Pix,Entregue,2,10.14,0.032,20.28,19.63,15.74,3.89,Santos,SP,Varejo
V005634,2024-05-15,C001316,P000359,Loja Física,Boleto,Entregue,3,30.91,0.042,92.73,88.84,62.46,26.38,Niterói,RJ,Atacado
V005988,2024-04-12,C001171,P000714,Online,Pix,Cancelado,6,10.14,0.204,60.84,48.43,39.54,8.89,Uberlândia,MG,Premium
V048064,2025-04-11,C000106,P000473,Marketplace,Pix,Entregue,3,17.16,0.122,51.48,45.2,32.22,12.98,Curitiba,PR,Varejo
V001813,2025-01-28,C001280,P000788,Online,Pix,Entregue,4,22.75,0.124,91.0,79.72,53.92,25.8,Feira de Santana,BA,Varejo
V027579,2025-01-17,C001498,P000031,Loja Física,Pix,Entregue,3,18.47,0.109,55.41,49.37,41.01,8.36,Niterói,RJ,Premium
V016824,2025-02-24,C001399,P001041,Loja Física,Pix,Entregue,2,5.5,0.2,11.0,8.8,6.34,2.46,Fortaleza,CE,Varejo
V003929,2024-04-20,C000368,P000574,Loja Física,Boleto,Entregue,3,9.06,0.234,27.18,20.82,15.72,5.1,Recife,PE,Varejo
V037287,2024-12-18,C000069,P000820,Loja Física,Pix,Entregue,2,14.61,0.197,29.22,23.46,19.94,3.52,Ponta Grossa,PR,Varejo
V025046,2024-05-06,C000112,P000226,Loja Física,Débito,Entregue,3,10.22,0.08,30.66,28.21,18.57,9.64,Brasília,DF,Varejo
V015728,2024-11-07,C001042,P000413,Marketplace,Pix,Cancelado,3,15.65,0.315,46.95,32.16,27.33,4.83,Caucaia,CE,Atacado
V029601,2025-07-03,C000393,P000733,Marketplace,Pix,Entregue,3,6.04,0.132,18.12,15.73,12.72,3.01,Campinas,SP,Corporate
V010431,2024-09-30,C000358,P000452,Loja Física,Crédito,Entregue,2,8.58,0.09,17.16,15.62,10.22,5.4,Taguatinga,DF,Premium
V025769,2025-03-07,C001246,P000363,Online,Pix,Entregue,3,25.93,0.052,77.79,73.74,42.84,30.9,Pelotas,RS,Varejo
V029104,2025-04-30,C001157,P001000,Loja Física,Crédito,Entregue,1,17.61,0.03,17.61,17.08,13.54,3.54,Olinda,PE,Atacado
V036538,2024-05-15,C000966,P000619,Online,Pix,Entregue,3,37.49,0.201,112.47,89.86,74.13,15.73,Salvador,BA,Premium
V039329,2024-08-03,C000808,P000880,Online,Pix,Entregue,5,13.5,0.078,67.5,62.24,50.45,11.79,Jaboatão dos Guararapes,PE,Varejo
V035540,2024-04-02,C000695,P000836,Online,Crédito,Entregue,3,8.78,0.142,26.34,22.6,15.93,6.67,Vitória da Conquista,BA,Corporate
V028076,2025-02-06,C000546,P000458,Online,Pix,Entregue,2,11.05,0.175,22.1,18.23,11.76,6.47,Joinville,SC,Varejo
V017841,2025-01-13,C000056,P000584,Online,Crédito,Devolvido,4,18.93,0.209,75.72,59.89,46.08,13.81,Feira de Santana,BA,Varejo
V027803,2024-08-22,C000246,P000804,Loja Física,Débito,Entregue,3,25.14,0.297,75.42,53.02,48.0,5.02,Belo Horizonte,MG,Varejo
V007683,2024-07-16,C001488,P000644,Loja Física,Pix,Entregue,4,13.06,0.248,52.24,39.28,37.0,2.28,Caruaru,PE,Varejo
V024280,2024-03-29,C001372,P000164,Marketplace,Crédito,Entregue,3,35.19,0.186,105.57,85.93,73.35,12.58,Santos,SP,Atacado
V033071,2024-11-07,C000186,P000182,Loja Física,Crédito,Entregue,2,6.09,0.214,12.18,9.57,9.32,0.25,Campinas,SP,Varejo
V035558,2024-06-20,C000573,P000280,Loja Física,Débito,Entregue,3,6.3,0.161,18.9,15.86,12.9,2.96,Pelotas,RS,Varejo
V037190,2024-10-13,C001022,P001046,Online,Pix,Entregue,3,11.11,0.054,33.33,31.53,19.17,12.36,Londrina,PR,Premium
V047150,2024-01-06,C001209,P001145,Marketplace,Pix,Entregue,3,11.02,0.086,33.06,30.22,19.74,10.48,Ribeirão Preto,SP,Premium
V046916,2024-12-13,C001222,P001089,Online,Crédito,Entregue,3,13.62,0.189,40.86,33.14,28.35,4.79,Campos dos Goytacazes,RJ,Corporate
V009802,2024-04-02,C000114,P000362,Online,Crédito,Entregue,2,22.05,0.293,44.1,31.18,26.3,4.88,Porto Alegre,RS,Varejo
V038801,2024-12-02,C001234,P000536,Loja Física,Crédito,Entregue,3,15.73,0.014,47.19,46.53,36.93,9.6,Juiz de Fora,MG,Varejo
V024670,2025-02-19,C000931,P001012,Loja Física,Pix,Entregue,5,5.71,0.104,28.55,25.58,21.2,4.38,Blumenau,SC,Varejo
V044234,2024-10-14,C000325,P000104,Marketplace,Crédito,Entregue,5,12.38,0.118,61.9,54.6,46.6,8.0,Campinas,SP,Premium
V031920,2024-10-30,C000688,P001145,Marketplace,Débito,Entregue,2,10.47,0.277,20.94,15.14,13.16,1.98,Chapecó,SC,Varejo
V007135,2024-04-02,C000744,P000245,Marketplace,Crédito,Entregue,1,12.63,0.015,12.63,12.44,9.09,3.35,Caxias do Sul,RS,Varejo
V033705,2024-03-16,C000123,P000032,Televendas,Crédito,Entregue,3,26.95,0.34,80.85,53.36,46.02,7.34,Campinas,SP,Atacado
V029661,2024-08-13,C000353,P000679,Marketplace,Pix,Cancelado,1,12.97,0.18,12.97,10.64,8.17,2.47,Campos dos Goytacazes,RJ,Atacado
V017894,2024-11-15,C000349,P000180,Loja Física,Crédito,Entregue,2,25.19,0.132,50.38,43.73,35.82,7.91,Rio de Janeiro,RJ,Varejo
V022019,2025-04-24,C000478,P000233,Loja Física,Débito,Entregue,5,10.54,0.218,52.7,41.21,29.65,11.56,Londrina,PR,Premium
V013539,2025-05-25,C000152,P000218,Online,Débito,Entregue,4,17.25,0.049,69.0,65.62,55.52,10.1,Pelotas,RS,Varejo
V043119,2024-01-20,C000750,P000665,Loja Física,Pix,Entregue,4,9.6,0.046,38.4,36.63,31.2,5.43,Ponta Grossa,PR,Varejo
V036421,2025-03-30,C000538,P000893,Loja Física,Pix,Entregue,1,18.52,0.224,18.52,14.37,13.8,0.57,Ceilândia,DF,Atacado
V009406,2025-01-06,C000919,P000025,Loja Física,Pix,Entregue,4,10.69,0.127,42.76,37.33,34.28,3.05,Olinda,PE,Varejo
V013414,2024-02-28,C000484,P000111,Marketplace,Pix,Entregue,4,13.22,0.167,52.88,44.05,37.8,6.25,Fortaleza,CE,Varejo
V006721,2024-03-13,C000304,P000487,Loja Física,Pix,Entregue,4,5.13,0.288,20.52,14.61,12.04,2.57,Londrina,PR,Varejo
V015602,2024-03-25,C000031,P000199,Marketplace,Pix,Entregue,3,9.31,0.095,27.93,25.28,21.87,3.41,Juiz de Fora,MG,Varejo
V044744,2024-07-07,C000209,P000014,Online,Crédito,Entregue,2,14.88,0.044,29.76,28.45,19.92,8.53,Campinas,SP,Varejo
V031139,2025-04-16,C001350,P000159,Online,Pix,Entregue,2,22.14,0.012,44.28,43.75,32.02,11.73,Ponta Grossa,PR,Varejo
V002730,2024-10-30,C001011,P000702,Online,Pix,Entregue,2,11.19,0.095,22.38,20.25,15.74,4.51,Santa Maria,RS,Varejo
V038243,2024-12-22,C000783,P000733,Loja Física,Crédito,Entregue,4,6.58,0.039,26.32,25.29,16.96,8.33,Juazeiro do Norte,CE,Varejo
V029626,2024-10-13,C001333,P001112,Online,Débito,Entregue,4,35.61,0.222,142.44,110.82,80.64,30.18,Niterói,RJ,Premium
V047895,2024-08-28,C001332,P000968,Online,Crédito,Entregue,3,8.86,0.08,26.58,24.45,17.88,6.57,São Paulo,SP,Atacado
V042091,2025-04-20,C000015,P000989,Online,Crédito,Entregue,2,9.03,0.152,18.06,15.31,10.72,4.59,Curitiba,PR,Corporate
V036400,2025-03-02,C000069,P000211,Loja Física,Crédito,Entregue,2,13.14,0.019,26.28,25.78,19.38,6.4,Ponta Grossa,PR,Varejo
V006245,2025-01-28,C000940,P001026,Online,Crédito,Entregue,4,12.34,0.224,49.36,38.3,36.2,2.1,Santos,SP,Premium
V005546,2025-02-24,C000787,P000797,Online,Crédito,Entregue,3,19.01,0.052,57.03,54.06,43.89,10.17,Fortaleza,CE,Varejo
V004065,2024-05-04,C001335,P000939,Loja Física,Débito,Entregue,3,10.56,0.35,31.68,20.59,24.84,-4.25,Sorocaba,SP,Atacado
V012852,2024-02-23,C000390,P001097,Loja Física,Pix,Entregue,1,14.95,0.101,14.95,13.44,10.33,3.11,Santos,SP,Premium
V021803,2025-05-15,C001197,P000492,Loja Física,Crédito,Entregue,2,8.45,0.174,16.9,13.96,9.78,4.18,Caxias do Sul,RS,Varejo
V041164,2024-05-11,C000276,P000137,Loja Física,Crédito,Entregue,1,13.94,0.095,13.94,12.62,8.82,3.8,Campinas,SP,Atacado
V006233,2024-10-11,C000483,P000660,Televendas,Crédito,Entregue,4,25.66,0.072,102.64,95.25,57.44,37.81,Ceilândia,DF,Premium
V003863,2024-08-27,C001083,P000263,Marketplace,Crédito,Entregue,4,23.09,0.124,92.36,80.91,54.96,25.95,Ponta Grossa,PR,Atacado
V035095,2024-01-05,C000632,P001177,Online,Crédito,Entregue,2,15.16,0.103,30.32,27.2,21.36,5.84,Juiz de Fora,MG,Atacado
V040196,2024-03-15,C000025,P000169,Loja Física,Débito,Entregue,5,18.15,0.303,90.75,63.25,74.4,-11.15,Contagem,MG,Varejo
V039251,2025-03-18,C000359,P000834,Loja Física,Crédito,Entregue,1,13.37,0.138,13.37,11.52,8.04,3.48,Campinas,SP,Premium
V006218,2024-01-31,C000573,P000044,Loja Física,Pix,Entregue,2,23.04,0.106,46.08,41.2,34.54,6.66,Pelotas,RS,Varejo
V036776,2024-10-23,C000100,P000245,Loja Física,Crédito,Entregue,5,13.33,0.069,66.65,62.05,45.45,16.6,Jaboatão dos Guararapes,PE,Varejo
V042977,2024-01-22,C000198,P000017,Online,Pix,Entregue,2,8.13,0.098,16.26,14.67,9.5,5.17,Santa Maria,RS,Premium
V048468,2024-10-22,C001171,P000961,Online,Crédito,Entregue,3,8.56,0.053,25.68,24.32,17.13,7.19,Uberlândia,MG,Premium
V014832,2024-02-09,C001181,P000551,Marketplace,Crédito,Entregue,3,10.59,0.132,31.77,27.58,17.58,10.0,Camaçari,BA,Varejo
V030093,2024-02-21,C000510,P000302,Online,Crédito,Entregue,4,13.81,0.192,55.24,44.63,42.36,2.27,Camaçari,BA,Atacado
V008894,2025-01-30,C000003,P001100,Televendas,Crédito,Entregue,2,5.49,0.222,10.98,8.54,7.84,0.7,Chapecó,SC,Varejo
V006021,2025-04-28,C000030,P000817,Marketplace,Pix,Entregue,1,18.88,0.088,18.88,17.22,11.08,6.14,São Paulo,SP,Corporate
V046089,2024-09-24,C001323,P000041,Online,Débito,Entregue,3,20.17,0.35,60.51,39.33,35.37,3.96,Caruaru,PE,Corporate
V015243,2025-02-24,C001393,P000139,Loja Física,Crédito,Entregue,3,20.12,0.181,60.36,49.43,46.8,2.63,Fortaleza,CE,Varejo
V045308,2025-05-01,C000519,P000262,Online,Crédito,Entregue,2,20.43,0.136,40.86,35.3,23.34,11.96,Maringá,PR,Varejo
V026551,2024-03-12,C000758,P000006,Loja Física,Crédito,Entregue,2,10.01,0.112,20.02,17.78,15.64,2.14,Taguatinga,DF,Atacado
V006035,2024-03-08,C001388,P000923,Marketplace,Débito,Entregue,9,28.17,0.243,253.53,191.92,147.87,44.05,Niterói,RJ,Premium
V007906,2024-04-03,C000570,P000046,Online,Crédito,Entregue,5,7.47,0.096,37.35,33.76,27.9,5.86,Belo Horizonte,MG,Varejo
V032226,2025-03-03,C001337,P000272,Online,Pix,Entregue,4,17.47,0.135,69.88,60.45,40.76,19.69,Ponta Grossa,PR,Varejo
V006018,2024-03-15,C000273,P001016,Televendas,Pix,Entregue,6,6.98,0.084,41.88,38.36,29.34,9.02,Gama,DF,Varejo
V021880,2024-09-20,C001343,P000992,Marketplace,Crédito,Entregue,3,11.05,0.057,33.15,31.26,25.59,5.67,Contagem,MG,Varejo
V002792,2025-01-05,C000208,P000636,Loja Física,Pix,Entregue,3,9.73,0.195,29.19,23.5,16.26,7.24,Porto Alegre,RS,Varejo
V042606,2024-11-30,C000774,P001026,Loja Física,Crédito,Entregue,3,12.03,0.061,36.09,33.89,27.15,6.74,Sorocaba,SP,Corporate
V005824,2024-04-14,C001468,P000710,Loja Física,Crédito,Entregue,2,10.59,0.095,21.18,19.17,15.72,3.45,Caruaru,PE,Corporate
V015388,2024-05-17,C001145,P000691,Marketplace,Crédito,Entregue,2,19.37,0.125,38.74,33.9,23.4,10.5,Feira de Santana,BA,Varejo
V029562,2024-11-27,C000375,P000384,Online,Crédito,Entregue,4,9.51,0.094,38.04,34.46,22.44,12.02,Caucaia,CE,Corporate
V039476,2025-03-23,C000261,P000935,Loja Física,Crédito,Entregue,5,27.0,0.093,135.0,122.44,111.2,11.24,Niterói,RJ,Atacado
V000293,2024-10-21,C000160,P001042,Marketplace,Crédito,Entregue,7,14.03,0.283,98.21,70.42,61.67,8.75,Caruaru,PE,Varejo
V016958,2025-04-02,C000050,P000745,Marketplace,Pix,Entregue,2,10.11,0.317,20.22,13.81,11.8,2.01,Juiz de Fora,MG,Varejo
V030861,2025-06-04,C000225,P000943,Online,Pix,Entregue,3,15.19,0.24,45.57,34.63,30.03,4.6,Campos dos Goytacazes,RJ,Varejo
V014074,2025-01-17,C001164,P000005,Marketplace,Pix,Entregue,3,7.31,0.297,21.93,15.42,15.06,0.36,Ponta Grossa,PR,Atacado
V021857,2024-07-02,C000286,P000401,Loja Física,Pix,Entregue,6,12.7,0.138,76.2,65.68,56.04,9.64,Brasília,DF,Varejo
V022080,2024-12-22,C001148,P000818,Online,Crédito,Entregue,4,33.57,0.205,134.28,106.75,79.8,26.95,Camaçari,BA,Premium
V017024,2024-01-15,C001225,P000324,Online,Pix,Entregue,1,15.1,0.199,15.1,12.1,8.43,3.67,Caxias do Sul,RS,Premium
V008740,2024-12-05,C000446,P000359,Loja Física,Crédito,Entregue,1,32.26,0.06,32.26,30.32,20.82,9.5,Salvador,BA,Premium
V015826,2025-01-23,C000161,P000194,Online,Crédito,Entregue,3,12.91,0.133,38.73,33.58,27.27,6.31,Maracanaú,CE,Atacado
V002742,2024-01-24,C000273,P000265,Marketplace,Crédito,Entregue,1,17.31,0.088,17.31,15.79,11.28,4.51,Gama,DF,Varejo
